date,ID,Green,Wet,Road_Dens,Risk,Green_Norm,Wet_Norm,Road_Dens_Norm,Risk_Norm,fix,states,binom
2010-02-01T09:00:00Z,AG063_2010,-37.04523849,-79.0713501,0,3.51e-4,-0.637288722,-1.682669067,-0.04722861,-0.416175506,1,2,1
2010-02-01T09:20:00Z,AG063_2010,-29.22957039,-71.2039032,0,6.97e-4,-0.275911952,-1.276098589,-0.04722861,-0.413195406,2,2,1
2010-02-01T09:40:00Z,AG063_2010,-33.968193049999996,-80.91542053,0,0.001712123,-0.495013906,-1.777966132,-0.04722861,-0.404434498,3,2,1
2010-02-01T10:20:00Z,AG063_2010,-32.86484528,-79.38624573,0,0.002983042,-0.443997889,-1.698942106,-0.04722861,-0.393469584,4,2,1
2010-02-01T10:40:00Z,AG063_2010,-37.9570694,-83.3535614,0,0.008411299,-0.679449482,-1.903963309,-0.04722861,-0.346637028,5,2,1
2010-02-01T11:00:00Z,AG063_2010,-32.17758942,-80.72763824,0,0.008093628,-0.412220912,-1.768262001,-0.04722861,-0.349377745,6,2,1
2010-02-01T11:20:00Z,AG063_2010,-33.82502365,-77.35308075,0,0.034228273,-0.488394114,-1.593873096,-0.04722861,-0.123899789,7,2,1
2010-02-01T11:40:00Z,AG063_2010,-32.62408829,-75.11074829,0,0.068741143,-0.432865893,-1.47799482,-0.04722861,0.173861726,8,2,1
2010-02-01T14:40:00Z,AG063_2010,-33.12149429,-79.21227264,0,0.082939498,-0.455864692,-1.689951601,-0.04722861,0.296358748,9,2,1
2010-02-01T17:20:00Z,AG063_2010,-27.94544983,-78.99628448,0,0.171051189,-0.216537458,-1.678789859,-0.04722861,1.056546777,10,2,1
2010-02-01T17:40:00Z,AG063_2010,-26.57732773,-75.76734161,0,0.336156875,-0.153278944,-1.511925962,-0.04722861,2.481004351,11,2,1
2010-02-01T18:00:00Z,AG063_2010,-26.85834694,-77.04105377,0,0.338263154,-0.166272563,-1.577748302,-0.04722861,2.49917638,12,2,1
2010-02-01T18:20:00Z,AG063_2010,-26.24920273,-76.76961517,0,0.34391439,-0.138107272,-1.563721017,-0.04722861,2.547932698,13,2,1
2010-02-01T20:20:00Z,AG063_2010,-23.65532875,-74.02894592,0,0.189726844,-0.018173085,-1.42208991,-0.04722861,1.217671928,14,2,1
2010-02-01T21:00:00Z,AG063_2010,-21.47802925,-75.39507294,0,0.529074609,0.082499749,-1.492688024,-0.04722861,4.145411768,15,2,1
2010-02-01T21:20:00Z,AG063_2010,-20.92795181,-72.5663681,0,0.403285652,0.107933941,-1.346507454,-0.04722861,3.060161242,16,2,1
2010-02-01T21:40:00Z,AG063_2010,-20.33493042,-72.92684937,0,0.373154789,0.135353754,-1.365136247,-0.04722861,2.80020571,17,2,1
2010-02-01T22:20:00Z,AG063_2010,-20.14002419,-71.12567139,0,0.547614396,0.144365727,-1.272055759,-0.04722861,4.305364704,18,2,1
2010-02-01T23:20:00Z,AG063_2010,-24.56121445,-78.56098175,0,0.394861579,-0.060058954,-1.656294475,-0.04722861,2.987482126,19,2,1
2010-02-01T23:40:00Z,AG063_2010,-23.00336456,-75.11117554,0,0.325534612,0.011972093,-1.478016899,-0.04722861,2.389360245,20,2,1
2010-02-02T00:00:00Z,AG063_2010,-25.79542351,-73.06008911,0,0.445426762,-0.117125666,-1.372021752,-0.04722861,3.423735777,21,2,1
2010-02-02T00:20:00Z,AG063_2010,-26.72346115,-80.69929504,0,0.488983959,-0.160035785,-1.766797294,-0.04722861,3.799527674,22,2,1
2010-02-02T02:40:00Z,AG063_2010,-23.99669838,-76.18309784,0,0.201917455,-0.033957156,-1.533411231,-0.04722861,1.322847028,23,2,1
2010-02-02T09:40:00Z,AG063_2010,-20.44039154,-68.40843964,0,0.527444184,0.130477498,-1.131635846,-0.04722861,4.131345191,24,2,1
2010-02-02T10:00:00Z,AG063_2010,-20.27427864,-69.61188507,0,0.603332341,0.138158139,-1.193826972,-0.04722861,4.786074066,25,2,1
2010-02-02T10:20:00Z,AG063_2010,-19.70261574,-77.72350311,0,0.618922353,0.164590389,-1.61301562,-0.04722861,4.920577676,26,2,1
